model,seed,best_epoch,best_val_mf1,acc,mprec,mrec,mf1,wf1,uar
ecapa-tdnn,42,8,0.7721312226844871,0.8069174540916384,0.7178429439556522,0.6773638316728776,0.6821669430180112,0.8095466691914459,0.6773638316728776
ecapa-tdnn,43,3,0.7514864405195933,0.8085220181850598,0.6795707846824569,0.6782987577187126,0.66812376432401,0.8015867835751457,0.6782987577187126
ecapa-tdnn,44,4,0.7432477198022542,0.809770012479943,0.7586477750221563,0.6788230413369734,0.6959057844714698,0.8078813134514762,0.6788230413369734
w2v2-en-b,42,36,0.5057070778660858,0.6528793011231948,0.5404760600425934,0.5362368249782609,0.5052339126658888,0.6494200262747867,0.5362368249782609
w2v2-en-b,43,36,0.5232935840998696,0.653592440720271,0.5377945732244952,0.5375854826699836,0.5090696209867851,0.653056817006292,0.5375854826699836
w2v2-en-b,44,16,0.5043169109291602,0.6190051702620788,0.5080416668632738,0.5225738209152606,0.48668852498804693,0.6211630691401123,0.5225738209152606
w2v2-zh-b,42,36,0.5265433252208608,0.6714209306471742,0.6123021551528518,0.6123579295278703,0.5834444576333182,0.6611901730734143,0.6123579295278703
w2v2-zh-b,43,56,0.5302814884172168,0.7120698876805135,0.6289627048067928,0.6386399789791416,0.6224887725066097,0.7105272155067748,0.6386399789791416
w2v2-zh-b,44,31,0.5272912858468645,0.6922802638616509,0.6242936312820646,0.6296847482121463,0.6144366524732284,0.6896633185072396,0.6296847482121463
hubert-en-b,42,14,0.7583812437303076,0.8532715279015868,0.7817401607362781,0.7493162428842167,0.7471854957340343,0.8524420903432658,0.7493162428842167
hubert-en-b,43,10,0.7785168095450941,0.843644143341059,0.7733512421506068,0.7552323743450496,0.7534928057993356,0.8453490982065603,0.7552323743450496
hubert-en-b,44,11,0.7670354315211058,0.8522018185059725,0.7801409127859323,0.7570013028463176,0.7537087603366432,0.8525428621260552,0.7570013028463176
hubert-zh-b,42,25,0.8066760307783325,0.8981993225173828,0.850321399833803,0.8379918852025829,0.8408267456587709,0.8986599857025603,0.8379918852025829
hubert-zh-b,43,27,0.8011973096295774,0.8923159208415047,0.8445192903886208,0.8332726332266337,0.8324150390067092,0.8935282777305339,0.8332726332266337
hubert-zh-b,44,23,0.8021920573587341,0.8889285077553931,0.8411301376864248,0.8303189418875663,0.8292481595192863,0.8901121923809305,0.8303189418875663
wavlm-b,42,18,0.7695020995900913,0.8316990550900338,0.7662075252140925,0.7470650278059859,0.7430022379255922,0.83544199770582,0.7470650278059859
wavlm-b,43,12,0.777033056939862,0.8265287930112319,0.756421058757379,0.7442369283378971,0.7375226913216,0.8301629934411866,0.7442369283378971
wavlm-b,44,11,0.7839407389229713,0.832055624888572,0.7671468056605553,0.7514550696849495,0.7510557985060666,0.8350113675422892,0.7514550696849495
data2vec-audio-b,42,41,0.6092138725023235,0.7293635229096096,0.6195756187923465,0.6239671527600575,0.5986606499737429,0.7299972546073186,0.6239671527600575
data2vec-audio-b,43,49,0.6114688139585193,0.732216081297914,0.6251205882516124,0.627836026211595,0.6022364354394513,0.7335730923040664,0.627836026211595
data2vec-audio-b,44,46,0.609270112442227,0.7354252094847566,0.627264899201567,0.6280042193311981,0.6046049655870191,0.7357845074627538,0.6280042193311981
unispeech-sat-b,42,16,0.772169298288737,0.8356213228739525,0.7727487229594419,0.7341726991529446,0.7366885672741167,0.8379530476189105,0.7341726991529446
unispeech-sat-b,43,25,0.7717675055745737,0.8459618470315564,0.7768938256136264,0.7371053918970495,0.7400070877366357,0.8467572317618409,0.7371053918970495
unispeech-sat-b,44,18,0.7768503914023156,0.8227848101265823,0.7662861507864537,0.7232339467251437,0.7209435241877022,0.8267215366872852,0.7232339467251437
whisper-base,42,24,0.7482855110018232,0.8543412372972009,0.7764729533936116,0.7686177657975566,0.758595650477435,0.8516445923054385,0.7686177657975566
whisper-base,43,33,0.7527353436190733,0.8539846674986629,0.7731044290472981,0.7684029065558324,0.7555723663574723,0.8517366014643832,0.7684029065558324
whisper-base,44,32,0.7576575308878475,0.8566589409876983,0.7852242391174217,0.7795079576151007,0.7713020976739918,0.8560137111858358,0.7795079576151007
resnet-voxceleb,42,4,0.7250749267313633,0.85451952219647,0.8217331262275483,0.7283276896339483,0.7385937040098776,0.8526938674451696,0.7283276896339483
resnet-voxceleb,43,6,0.7195877972011665,0.8372258869673739,0.8053061744279751,0.6755601461193914,0.676984144435542,0.8303130674401487,0.6755601461193914
resnet-voxceleb,44,6,0.7533139666541154,0.8536280977001248,0.8169558789355184,0.7063938129221965,0.7167016570529864,0.8484248135646029,0.7063938129221965
rawnet3,42,7,0.7921245957533262,0.8673560349438403,0.8142369083879987,0.7866667306255515,0.7836785166378483,0.869678251994349,0.7866667306255515
rawnet3,43,7,0.8038252654520296,0.8664646104474951,0.8145776104473332,0.7835166076295703,0.7830615281188834,0.8687484391311264,0.7835166076295703
rawnet3,44,9,0.7832173137513294,0.8639686218577286,0.806641649632979,0.7709585466953789,0.773363382589357,0.8666771803491562,0.7709585466953789
xvect-voxceleb,42,10,0.7875422954501088,0.8238545195221965,0.7368039725465618,0.733511277663797,0.6938426591330017,0.8199061150422812,0.733511277663797
xvect-voxceleb,43,10,0.8412872699510093,0.8399001604564094,0.8003769180471846,0.7714102351156964,0.7667615277431324,0.8463166516547448,0.7714102351156964
xvect-voxceleb,44,8,0.7923398749449552,0.7808878587983598,0.749776533321932,0.7289175603812763,0.6658315548470272,0.7708435288251292,0.7289175603812763
